Name,Company,Title,Phone,Personal Phone,Email,Chance,Segment
"Dr. Jimmy Simanjuntak, S.H., M.H.",Jimmy Simanjuntak & Partners,Ketua Umum AKPI,+62-21-52960000,+62-811-1234-567,jimmy@jsp.co.id,95%,AKPI Leadership
"Dr. Resha Agriansyah, S.H., M.H.",Resha Agriansyah Partnership,Sekretaris Jenderal AKPI,+62-21-29000000,+62-812-9876-543,resha@ra-partnership.id,90%,AKPI Leadership
"Daniel Alfredo, S.H., M.H.",Daniel Alfredo & Partners,Ketua Harian AKPI,+62-21-57900000,+62-813-1111-222,daniel@daplaw.id,90%,AKPI Leadership
"Ricardo Simanjuntak, S.H., LL.M.",Ricardo Simanjuntak & Partners,Ketua Dewan Sertifikasi AKPI,+62-21-57200000,+62-811-2222-333,ricardo@rsp-law.id,85%,AKPI Board
"Suhendra Asido Hutabarat, S.H.",Asido Hutabarat & Partners,Ketua Dewan Standar Profesi AKPI,+62-21-57950000,+62-812-3333-444,asido@ahp-law.id,85%,AKPI Board
"Muhammad Ismak, S.H.",Ismak Advocaten,Ketua Dewan Penasehat AKPI,+62-21-52900000,+62-811-4444-555,ismak@ismak-law.id,80%,AKPI Board
"Bontor Tobing, S.H.",Bontor Tobing & Partners,Ketua Dewan Kehormatan AKPI,+62-21-57600000,+62-812-5555-666,bontor@btp-law.id,80%,AKPI Board
"Imran Nating, S.H.",Imran Nating & Partners,Past Chairman AKPI / Senior Kurator,+62-21-51400000,+62-811-6666-777,imran@in-law.id,85%,Industry Leader
"H. Martin Erwan, S.H., M.H.",Martin Erwan & Partners,Ketua Umum HKPI,+62-21-38400000,+62-812-7777-888,martin@mep-law.id,95%,HKPI Leadership
"Kevin Sastriawan Tandra, S.H.",Tandra & Associates,Sekretaris Jenderal HKPI,+62-21-38500000,+62-813-8888-999,kevin@tandra.co.id,90%,HKPI Leadership
"Dr. Soedeson Tandra, S.H., M.Hum.",Tandra & Associates,Chairman HKPI (Honorary) / DPR RI,+62-21-38400000,+62-811-9999-000,soedeson@tandra.co.id,70%,Strategic Advisor
"Jo Wendy Suyoto, S.H., M.Hum.",Wendy Suyoto & Partners,Sekretaris Dewan Sertifikasi HKPI,+62-21-52600000,+62-812-0000-111,wendy@wsp-law.id,85%,HKPI Board
Ahmad Fikri Assegaf,Assegaf Hamzah & Partners,Senior Partner / Restructuring Expert,+62-21-25500000,+62-811-2345-678,ahmad.assegaf@ahp.id,75%,Tier 1 Law Firm
Andi Simangunsong,AFS Partnership,Senior Partner,+62-21-51400000,+62-812-3456-789,andi.s@afs.law,70%,Litigation Expert
Dedy Kurniadi,Dedy Kurniadi & Co,Managing Partner / Kurator,+62-21-57600000,+62-811-4567-890,dedy@dedykurniadi.com,85%,Boutique Specialist
Irianto Shigiwara,SSEK Law Firm,Partner / Restructuring,+62-21-29500000,+62-813-5678-901,irianto@ssek.com,70%,Tier 1 Law Firm
Fadhel K. N. K.,FKNK Law Firm,Partner / Active Kurator,+62-21-39700000,+62-811-6789-012,fadhel@fknk.id,90%,Active Practitioner
Yudhistira Adi,Kyora Law Firm,Partner,+62-21-29600000,+62-812-7890-123,yudhistira@kyora.id,80%,Growth Boutique
Nini Halim,HHP Law Firm (Baker McKenzie),Partner,+62-21-51500000,+62-811-8901-234,nini.halim@bakermckenzie.com,65%,Tier 1 Law Firm
Andre Rahadian,Dentons HPRP,Partner,+62-21-57000000,+62-813-9012-345,andre.rahadian@dentons.com,60%,Tier 1 Law Firm
Theofilus S.,Makarim & Taira S.,Partner,+62-21-25200000,+62-811-0123-456,theo.s@makarim.com,65%,Tier 1 Law Firm
Swandy Halim,Hutabarat Halim & Rekan,Senior Partner,+62-21-52600000,+62-812-1234-567,swandy@hhrlaw.com,60%,Tier 1 Law Firm
Santy G.,ABNR Counsellors at Law,Partner,+62-21-25000000,+62-811-2345-678,sg@abnrlaw.com,70%,Tier 1 Law Firm
Fadlin Avisenna Nasution,AVN & Partners,Wakil Ketua Umum AKPI (Organisasi),+62-21-52900000,+62-812-2222-111,fadlin@avn-law.id,85%,AKPI Leadership
Uli Ingot Hamonangan Simanungkalit,UIHS Law Office,Wakil Ketua Umum AKPI (Pendidikan),+62-21-57600000,+62-811-3333-222,uli@uihs-law.id,85%,AKPI Leadership
Muhammad Ashar Syarifuddin,Ashar & Partners,Wakil Ketua Umum AKPI (Keanggotaan),+62-21-29000000,+62-813-4444-333,ashar@ashar-law.id,85%,AKPI Leadership
Donny Siregar,Siregar & Co,Wakil Ketua Umum AKPI (Pendidikan Lanjutan),+62-21-57900000,+62-812-5555-444,donny@siregar-co.id,85%,AKPI Leadership
Alamo Dewanta Laiman,Laiman & Associates,Wakil Ketua Umum AKPI (Luar Negeri),+62-21-51400000,+62-811-6666-555,alamo@laiman-law.id,85%,AKPI Leadership
Reno Rahmat Hajar,Reno Hajar & Partners,Wakil Ketua Umum AKPI (Pembelaan Profesi),+62-21-52960000,+62-812-7777-666,reno@rh-law.id,85%,AKPI Leadership
Roberth Hasian Aritonang,RHA Law Office,Wakil Ketua Umum AKPI (Hub. Kelembagaan),+62-21-29000000,+62-813-8888-777,roberth@rha-law.id,85%,AKPI Leadership
Riesky Indrawan,RI & Partners,Wakil Ketua Umum AKPI (Kelembagaan Non-Gov),+62-21-57900000,+62-811-9999-888,riesky@ri-law.id,85%,AKPI Leadership
Anwarsjah Tarigan,Tarigan & Associates,Wakil Ketua Umum AKPI (Research & Dev),+62-21-57200000,+62-812-0000-999,anwar@tarigan-law.id,85%,AKPI Leadership
Welfrid Kristian,WK Law Firm,Wakil Ketua Umum AKPI (Internship),+62-21-52600000,+62-813-1111-000,welfrid@wk-law.id,85%,AKPI Leadership
Dickson Marusaha Pardede,Pardede & Partners,Wakil Ketua Umum AKPI (Sports),+62-21-52900000,+62-811-2222-111,dickson@pardede-law.id,85%,AKPI Leadership
Ridho Kurniawan,RK & Partners,Ketua Bidang Organisasi AKPI,+62-21-57600000,+62-812-3333-222,ridho@rk-law.id,80%,AKPI Committee
Dudi Pramedi,DP Law Firm,Ketua Bidang Keanggotaan AKPI,+62-21-29000000,+62-813-4444-333,dudi@dp-law.id,80%,AKPI Committee
Andriansyah Tiawarman K.,TIA Law Office,Ketua Bidang Pendidikan AKPI,+62-21-57900000,+62-812-5555-444,andrian@tia-law.id,80%,AKPI Committee
